"Source:","/home/florian/projecten/glycon/doc/kicad/glycon_rev1.0/glycon_02_16.kicad_sch"
"Date:","ma 11 apr 2022 14:59:46 CEST"
"Tool:","Eeschema (6.99.0-588-g9b3e9082d3)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","53"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied Price/Stock","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"","","U8","PIO-DIP-40","Zilog_Z80_Peripherals:PIO-DIP-40","Package_DIP:DIP-40_W15.24mm_Socket","https://www.zilog.com/appnotes_download.php?FromPage=DirectLink&dn=PS0180&ft=Product%20Specification%20(Data%20Sheet)%20%20&f=YUhSMGNEb3ZMM2QzZHk1NmFXeHZaeTVqYjIwdlpHOWpjeTk2T0RBdmNITXdNVGd3TG5Ca1pnPT0=","","","","","","","","","",""
"","","U9","74HC244","74xx:74HC244","Package_DIP:DIP-20_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf","","","","","","","","","",""
"","","U10","74HC244","74xx:74HC244","Package_DIP:DIP-20_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf","","","","","","","","","",""
"","","U11","PIO-DIP-40","Zilog_Z80_Peripherals:PIO-DIP-40","Package_DIP:DIP-40_W15.24mm_Socket","https://www.zilog.com/appnotes_download.php?FromPage=DirectLink&dn=PS0180&ft=Product%20Specification%20(Data%20Sheet)%20%20&f=YUhSMGNEb3ZMM2QzZHk1NmFXeHZaeTVqYjIwdlpHOWpjeTk2T0RBdmNITXdNVGd3TG5Ca1pnPT0=","","","","","","","","","",""
"","","X1","ACO-6.144MHz","Oscillator:ACO-xxxMHz","Oscillator:Oscillator_DIP-14","http://www.conwin.com/datasheets/cx/cx030.pdf","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied Price/Stock","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"1","13","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13","100nF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","","",""
"2","1","D1","LED","Device:LED","LED_THT:LED_D5.0mm","~","","","","","","","","","",""
"3","5","H1, H2, H3, H4, H5","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","","","","","","","",""
"4","1","IC2","CTC-DIP-28","Zilog_Z80_Peripherals:CTC-DIP-28","Package_DIP:DIP-28_W15.24mm_Socket","http://www.zilog.com/docs/z80/ps0181.pdf","","","Z8430 Zilog CTC","5.21","Zilog","Z84C3010PEG","692-Z84C3010PEG","https://www.mouser.com/Search/Refine.aspx?Keyword=692-Z84C3010PEG","",""
"5","1","J1","Arduino/system bus header","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","~","","","","","","","","","",""
"6","1","J2","PMOD USBUART conn","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","","",""
"7","1","J3","Int order hdr","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","","","","","","","","","",""
"8","1","J4","Conn_02x21_Odd_Even","Connector_Generic:Conn_02x21_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x21_P2.54mm_Vertical","~","","","","","","","","","",""
"9","2","Q1, Q2","IRF9540N","Transistor_FET:IRF9540N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf9540n.pdf","","","","","","","","","",""
"10","10","R1, R2, R3, R4, R5, R6, R7, R9, R10, R11","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","",""
"11","1","R8","1K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","",""
"12","1","R12","470","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","","","",""
